"","ObservedDate","County","State","Count","Year","DOY","FirstiNatReport"
"227",2018-09-20,"Montgomery","PA",1,2018,263,"11/7/2017"
"228",2018-09-20,"Montgomery","PA",1,2018,263,"11/7/2017"
"229",2018-09-20,"Montgomery","PA",1,2018,263,"11/7/2017"
"230",2018-09-20,"Montgomery","PA",1,2018,263,"11/7/2017"
"231",2018-09-20,"Montgomery","PA",1,2018,263,"11/7/2017"
"232",2018-09-20,"Montgomery","PA",1,2018,263,"11/7/2017"
"233",2018-09-20,"Lancaster","PA",1,2018,263,"11/7/2017"
"234",2018-09-20,"Montgomery","PA",1,2018,263,"11/7/2017"
"235",2018-09-20,"Montgomery","PA",1,2018,263,"11/7/2017"
"236",2018-09-20,"Montgomery","PA",1,2018,263,"11/7/2017"
"237",2018-09-21,"Montgomery","PA",1,2018,264,"11/7/2017"
"238",2018-09-21,"Montgomery","PA",1,2018,264,"11/7/2017"
"239",2018-09-21,"Montgomery","PA",1,2018,264,"11/7/2017"
"240",2018-09-21,"Montgomery","PA",1,2018,264,"11/7/2017"
"241",2018-09-21,"Montgomery","PA",1,2018,264,"11/7/2017"
"242",2018-09-21,"Montgomery","PA",1,2018,264,"11/7/2017"
"243",2018-09-21,"Montgomery","PA",1,2018,264,"11/7/2017"
"244",2018-09-21,"Montgomery","PA",1,2018,264,"11/7/2017"
"245",2018-09-21,"Montgomery","PA",1,2018,264,"11/7/2017"
"246",2018-09-21,"Montgomery","PA",1,2018,264,"11/7/2017"
"247",2018-09-21,"Montgomery","PA",1,2018,264,"11/7/2017"
"248",2018-09-21,"Montgomery","PA",1,2018,264,"11/7/2017"
"249",2018-09-20,"Montgomery","PA",1,2018,263,"11/7/2017"
"250",2018-09-20,"Camden","NJ",1,2018,263,"7/18/2021"
"251",2018-09-21,"Montgomery","PA",1,2018,264,"11/7/2017"
"252",2018-09-21,"Berks","PA",1,2018,264,"11/7/2017"
"253",2018-09-21,"Berks","PA",1,2018,264,"11/7/2017"
"254",2018-09-21,"Berks","PA",1,2018,264,"11/7/2017"
"255",2018-09-21,"Berks","PA",1,2018,264,"11/7/2017"
"256",2018-09-21,"Montgomery","PA",1,2018,264,"11/7/2017"
"257",2018-09-21,"Lancaster","PA",1,2018,264,"11/7/2017"
"258",2018-09-22,"Montgomery","PA",1,2018,265,"11/7/2017"
"259",2018-09-22,"Montgomery","PA",1,2018,265,"11/7/2017"
"260",2018-09-23,"Lehigh","PA",1,2018,266,"11/7/2017"
"261",2018-07-18,"Cape May","NJ",1,2018,199,"7/18/2021"
"262",2018-09-20,"Montgomery","PA",1,2018,263,"11/7/2017"
"263",2018-09-24,"Berks","PA",1,2018,267,"11/7/2017"
"264",2018-08-27,"Lehigh","PA",1,2018,239,"11/7/2017"
"265",2018-09-24,"Chester","PA",1,2018,267,"11/7/2017"
"266",2018-09-25,"Northampton","PA",1,2018,268,"11/7/2017"
"267",2018-09-26,"Lehigh","PA",1,2018,269,"11/7/2017"
"268",2018-09-26,"Northampton","PA",1,2018,269,"11/7/2017"
"269",2018-09-26,"Chester","PA",1,2018,269,"11/7/2017"
"270",2018-09-26,"Lehigh","PA",1,2018,269,"11/7/2017"
"271",2018-09-26,"Montgomery","PA",1,2018,269,"11/7/2017"
"272",2018-09-26,"Lehigh","PA",1,2018,269,"11/7/2017"
"273",2018-08-26,"Chester","PA",1,2018,238,"11/7/2017"
"274",2018-09-27,"Berks","PA",1,2018,270,"11/7/2017"
"275",2018-09-26,"Chester","PA",1,2018,269,"11/7/2017"
"276",2018-09-15,"Monroe","PA",1,2018,258,"11/7/2017"
"277",2018-09-23,"Lancaster","PA",1,2018,266,"11/7/2017"
"278",2018-09-28,"Lancaster","PA",1,2018,271,"11/7/2017"
"279",2018-09-28,"Montgomery","PA",1,2018,271,"11/7/2017"
"280",2018-09-29,"Lehigh","PA",1,2018,272,"11/7/2017"
"281",2018-09-29,"Philadelphia","PA",1,2018,272,"11/7/2017"
"282",2018-09-29,"Berks","PA",1,2018,272,"11/7/2017"
"283",2018-09-29,"Montgomery","PA",1,2018,272,"11/7/2017"
"284",2018-09-29,"Philadelphia","PA",1,2018,272,"11/7/2017"
"285",2018-09-29,"Philadelphia","PA",1,2018,272,"11/7/2017"
"286",2018-09-29,"Lehigh","PA",1,2018,272,"11/7/2017"
"287",2018-09-29,"Lehigh","PA",1,2018,272,"11/7/2017"
"288",2018-09-29,"Lehigh","PA",1,2018,272,"11/7/2017"
"289",2018-09-30,"Berks","PA",1,2018,273,"11/7/2017"
"290",2018-09-30,"Lehigh","PA",1,2018,273,"11/7/2017"
"291",2018-09-30,"Montgomery","PA",1,2018,273,"11/7/2017"
"292",2018-09-30,"Montgomery","PA",1,2018,273,"11/7/2017"
"293",2018-09-30,"Montgomery","PA",1,2018,273,"11/7/2017"
"294",2018-09-30,"Berks","PA",1,2018,273,"11/7/2017"
"295",2018-09-30,"Berks","PA",1,2018,273,"11/7/2017"
"296",2018-10-01,"Montgomery","PA",1,2018,274,"11/7/2017"
"297",2018-10-02,"Berks","PA",1,2018,275,"11/7/2017"
"298",2018-10-02,"Berks","PA",1,2018,275,"11/7/2017"
"299",2018-10-02,"Berks","PA",1,2018,275,"11/7/2017"
"300",2018-10-02,"Winchester","Virginia",1,2018,275,NA
"301",2018-10-02,"Berks","PA",1,2018,275,"11/7/2017"
"302",2018-10-02,"Philadelphia","PA",1,2018,275,"11/7/2017"
"303",2018-10-01,"Chester","PA",1,2018,274,"11/7/2017"
"304",2018-09-29,"Montgomery","PA",1,2018,272,"11/7/2017"
"305",2018-10-03,"Lancaster","PA",1,2018,276,"11/7/2017"
"306",2018-10-03,"Montgomery","PA",1,2018,276,"11/7/2017"
"307",2018-10-03,"Chester","PA",1,2018,276,"11/7/2017"
"308",2018-10-04,"Philadelphia","PA",1,2018,277,"11/7/2017"
"309",2018-10-03,"Montgomery","PA",1,2018,276,"11/7/2017"
"310",2018-10-04,"Philadelphia","PA",1,2018,277,"11/7/2017"
"311",2018-07-04,"Chester","PA",1,2018,185,"11/7/2017"
"312",2018-10-03,"Lehigh","PA",1,2018,276,"11/7/2017"
"313",2018-10-05,"Lancaster","PA",1,2018,278,"11/7/2017"
